Name,Type,km/s,MB,Diam kpc,SGX,SGY,SGZ,Log Lum
U 5458,12,2700,-34.79,15.4,0.7,33.2,-23.1,9.93
U 5459,5,1184,-9.72,16.6,11.9,16.1,-3.4,9.69
U 5460,7,1151,-10.57,14.5,11.4,15.9,-3.6,9.55
U 5478,10,1326,-24.49,13,6.6,20.3,-9.7,9.08
N 3137,7,831,-43.51,24.6,-8.3,6.5,-10,0
1007-66,5,1093,-29.86,14.6,-14.4,-1.7,-8.3,0
1008-25,9,2243,-43.43,24.7,-18.1,16.6,-23.2,0
1008-04,10,114,-40.66,1.6,-0.3,0.9,-0.9,7.73
1008+58,13,2270,-5.47,5,21.8,25.8,-3.2,0
N 3156,-5,994,-37.63,9.8,-2.5,14.5,-11.3,9.61
N 3153,5,2672,-33.45,23.5,0.5,33.5,-22.1,10.24
1010-47,5,2202,-38.62,24.4,-24.2,6.4,-20,0
N 3162,4,1215,-28.07,20.7,3.6,19.3,-10.5,10.08
N 3166,0,1203,-37.26,26.3,-2.9,17.3,-13.3,10.28
U 5518,10,2109,-17.94,18.2,13.3,28.2,-10.1,0
U 5522,6,1065,-35.78,15.1,-1.5,16.1,-11.7,9.47
N 3169,1,1051,-37.15,25.9,-2.6,15.5,-11.9,10.37
N 3175,3,849,-42.3,17.8,-8.6,6.9,-10,10.01
N 3147,4,2881,4.82,51.4,31.6,25.8,3.4,10.88
U 5539,10,1097,-37.06,11.4,-3,16.1,-12.3,9.22
1013+45,13,1668,-13.87,4.7,13,22.9,-6.5,8.9
N 3177,3,1122,-28.38,9.9,2.8,18.3,-10,9.69
1014-03,8,1109,-38.83,13,-4.9,15,-12.7,0
N 3185,1,1146,-27.86,11.8,3,18.6,-10,9.76
1014-48,5,2447,-37.34,41,-27.2,6.4,-21.3,0
N 3187,5,1500,-27.73,21.3,3.7,22.8,-12.1,9.74
N 3184,6,604,-16.12,18.8,3.7,7.5,-2.4,9.93
N 3190,1,1216,-27.68,22.9,3.2,19.6,-10.4,10.31
N 3193,-5,1277,-27.58,18.3,3.3,20.3,-10.7,10.21
N 3198,5,686,-13.27,23,5.2,9.2,-2.5,10.04
N 3203,-2,2153,-41.39,20.9,-18.3,16.2,-21.6,10.2
N 3208,4,2738,-41.37,24.5,-22.1,20.4,-26.5,10.11
U 5588,13,1350,-25.22,4.9,4.6,21.4,-10.3,9.44
N 3206,6,1245,-5.68,16.6,12.9,16.5,-2.1,9.92
N 3223,3,2617,-40.22,40.1,-24.8,15.3,-24.6,10.88
U 5612,8,1161,3.57,17.3,14.3,12.6,1.2,9.76
N 3226,-5,1270,-27.65,18.4,2.4,20.6,-10.8,10.02
N 3227,1,1081,-27.65,33.1,2.1,18.2,-9.6,10.26
1021-47,5,2380,-36.88,20.1,-26.5,7.3,-20.6,0
N 3225,5,2227,-4.57,19.6,20.9,26.1,-2.7,10.08
U 5633,8,1264,-29.94,16.4,0.5,20.3,-11.7,9.29
N 3241,2,2594,-39.91,24.3,-24.1,16.3,-24.3,10.05
N 3239,9,639,-28.68,12.3,0.5,7.1,-3.9,9.12
1023+56,13,880,-5.57,2.3,9.3,12.4,-1.5,0
N 3246,8,1977,-34.12,19.6,-4.8,25.9,-17.9,10.04
U 5662,3,1269,-22.28,16.2,5.3,20.8,-8.8,9.2
N 3250,-5,2582,-38.23,20.7,-26.7,12.3,-23.2,10.7
N 3245,-2,1202,-22.29,18.8,5,19.9,-8.4,10.22
U 5666,9,177,2.29,9.4,2,1.9,0.1,8.74
N 3256,13,2595,-37.08,81.9,-28.1,10.1,-22.5,10.76
U 5675,9,1001,-26.79,10.8,1.7,17.3,-8.8,0
1026-31,4,2859,-39.16,25.4,-26.2,18.6,-26.1,10.17
N 3257,-2,2779,-38.58,10.9,-25.6,14.9,-23.5,0
N 3254,4,1309,-21.38,26.9,5.6,21.3,-8.6,10.32
N 3258,-5,2564,-38.56,18.6,-25.4,14.7,-23.4,10.32
U 5688,9,2063,3.46,28.8,22.7,20.8,1.9,9.74
1026-39,7,2530,-37.75,26.9,-26.5,12.1,-22.5,0
N 3260,-5,2169,-38.51,13.1,-25,14.5,-23.1,0
N 3261,5,2280,-36.67,41,-25.3,8.7,-19.9,10.64
N 3263,6,2724,-36.78,62.8,-29.5,10.5,-23.4,0
1027-350,-3,1609,-38.47,9.9,-24.3,14.4,-22.5,0
1027-351,-5,1498,-38.39,0,-24.3,14.2,-22.3,0
N 3268,-5,2518,-38.36,20.8,-25.2,14.9,-23.2,10.3
N 3273,-2,2176,-38.24,17.5,-25,14.6,-22.9,0
U 5707,6,2816,-13.16,29.2,17.8,36.3,-9.5,9.99
U 5706,10,1466,-18.23,11.9,7.8,22.8,-7.9,0
U 5708,7,1007,-32.85,13,-2.9,16.1,-10.5,9.49
N 3275,3,2957,-37.98,35.9,-29.3,16.1,-26.1,10.61
N 3259,4,1867,0.49,16.8,19.7,20.8,0.2,10.03
N 3264,9,1023,-5.1,14.6,10.6,14.3,-1.6,9.46
U 5720,13,1519,-6.12,8,14.2,20.3,-2.7,9.58
N 3274,6,481,-21.83,3.3,1.2,5.3,-2.2,8.58
N 3277,2,1402,-21.26,17.5,5.4,22.6,-9.1,10
N 3252,6,1299,6,10.3,15.9,13.2,2.2,9.43
U 5740,9,707,-8.08,6.6,5.9,9.5,-1.6,8.54
N 3287,7,1058,-24.47,11.4,2.2,18.6,-8.5,9.78
1033-24,8,785,-37.84,20.3,-8,7.8,-8.7,9.3
N 3294,5,1570,-15.77,23.4,9.1,24,-7.2,10.27
N 3299,8,465,-28.33,3.2,-0.2,4.7,-2.6,8.38
U 5764,10,543,-18.91,3.6,1.8,6.3,-2.2,8.15
1033-36,10,675,-36.88,13.2,-8.2,4.4,-7,0
N 3300,-2,2867,-27.62,22.5,-0.5,38,-19.9,10.22
N 3301,0,1244,-23.93,17.7,2.5,21.2,-9.5,10.04
U 5776,13,1746,0.48,5.5,18.3,20,0.2,9.14
N 3312,2,2442,-37.47,39.7,-28.4,24.3,-28.7,10.72
N 3314,0,2762,-37.42,28.4,-28.8,24.5,-28.9,0
N 3318,3,2622,-35.9,24.3,-28.2,12,-22.2,10.59
N 3310,4,1064,-5.93,19.1,10.4,15.5,-1.9,10.23
1036-37,5,2766,-36.33,29.2,-28.6,14.8,-23.7,0
N 3321,5,2262,-35.63,26.6,-14.1,24.7,-20.4,0
N 3319,6,754,-12.81,20.1,4.6,10.2,-2.5,9.68
N 3320,6,2367,-9.44,19.9,17.1,31.1,-5.9,10.34
1038-48,5,762,-33.77,22.2,-10.5,2.8,-7.3,0
1038-23,10,941,-36.45,13.2,-9.4,9.7,-10,9.18
1039+48,13,1585,-8.86,5.4,12.5,22.8,-4,9.11
N 3338,5,1174,-26.61,34,-0.7,20.4,-10.2,10.51
U 5829,10,608,-16.3,11.2,2.3,7.3,-2.2,8.57
U 5833,-2,1214,-23.38,9.5,1.7,21.2,-9.2,9
N 3347,3,2642,-35.67,40.5,-27.2,15.5,-22.5,10.52
N 3329,1,2056,8.32,17.7,23.7,18.3,4.4,10.24
N 3344,4,513,-21.1,11.8,0.9,5.6,-2.2,9.58
N 3346,6,1137,-25.8,17,-0.3,20.1,-9.7,9.93
1041-09,7,1858,-34.11,15.9,-11.7,22.1,-16.9,0
U 5846,10,1122,-1.25,11.3,12.1,15,-0.4,8.63
N 3351,3,649,-27.09,16.3,-0.5,7.2,-3.7,9.9
N 3358,0,2629,-35.51,33.6,-27.1,15.4,-22.2,10.34
U 5848,9,914,-3.56,9.5,9.5,13.2,-1,8.94
N 3353,13,949,-3.72,7.4,9.7,13.7,-1.1,9.36
N 3359,5,1131,0.63,35.9,12.6,14.5,0.2,10.43
N 3365,5,810,-30.26,9.7,-2.4,8.9,-5.4,9.37
N 3367,5,2913,-25.65,29.3,-1.6,39.2,-18.9,10.68
N 3368,2,766,-26.4,14.7,-0.5,7.3,-3.6,10.04
N 3370,5,1212,-24,17.8,0.4,21.4,-9.5,10.13
U 5889,9,449,-25.34,2.7,-0.2,4.6,-2.2,7.95
N 3377,-5,595,-25.29,11.6,-0.2,7.3,-3.4,9.61
N 3379,-5,752,-25.86,12.8,-0.5,7.3,-3.6,9.95
N 3384,-2,641,-25.75,11.4,-0.4,7.2,-3.5,9.68
N 3390,3,2578,-34.96,30,-25.3,18.2,-21.8,10.37
N 3389,5,1138,-25.74,16.4,-1.3,20.3,-9.8,10.12
1046+52,13,2410,-5.35,7.4,19.1,30.7,-3.4,9.55
U 5918,10,465,2.2,6,4.8,5.2,0.3,7.82
N 3395,6,1595,-15.81,13.6,7,25.4,-7.5,10.19
N 3396,10,1649,-15.79,23.7,7.1,26,-7.6,10.21
U 5947,10,1158,-22.2,9.3,1.1,21,-8.6,9.06
N 3412,-2,737,-24.82,7.6,-0.4,7.4,-3.4,9.45
U 5953,13,1804,-9.37,5.1,12.3,26.1,-4.8,9.68
N 3414,-2,1357,-18.08,23.3,4.4,23.3,-7.7,10.28
N 3423,6,851,-27.69,12.4,-1.8,9.5,-5.1,9.66
N 3419,-2,2894,-24.51,11.4,-1.9,39.4,-18,10.11
1048-19,6,1808,-33.86,23.9,-15.6,18.5,-16.2,0
U 5979,10,1261,3.83,10.8,14.5,14.6,1.4,9.06
N 3433,5,2582,-25.9,42.7,-4.1,35.3,-17.3,10.42
N 3430,5,1533,-15.4,28.8,6.7,24.8,-7.1,10.28
N 3432,9,600,-13.43,8.4,2.4,7.2,-1.8,9.54
N 3437,5,1212,-20.25,15,2.2,21.8,-8.1,10.05
U 5998,13,1320,-5.97,6,11.3,19.7,-2.4,9.19
N 3403,4,1359,7.06,18.3,16.2,13.9,2.6,9.94
N 3443,7,1028,-22.61,13.6,0.2,19.5,-8.1,9.4
N 3442,13,1713,-14.72,6.7,7.6,26.8,-7.3,9.83
N 3449,0,2994,-33.88,36.6,-29.7,20.1,-24.1,10.42
N 3447,7,965,-22.87,20.5,0,18.5,-7.8,9.8
U 6007,10,923,-22.82,8.6,0,18.2,-7.6,0
N 3445,9,2116,-2.1,16.1,18.7,26.4,-1.2,10.11
N 3448,13,1468,-3.56,27.2,13.4,20.4,-1.5,10.11
U 6027,10,1824,1.81,10.7,18.6,21.2,0.9,0
N 3454,5,1033,-22.38,11.2,0.1,19.7,-8.1,9.53
N 3455,3,987,-22.39,15,0.1,19,-7.8,9.82
U 6029,13,1442,-6.02,7.8,11.8,21.1,-2.6,9.4
U 6035,10,968,-22.26,8.3,0,18.8,-7.7,8.89
N 3458,-2,1891,-1.85,12.1,17.1,24.1,-1,9.85
1053+06,13,1050,-26.46,0,-2.4,12,-6.1,8.67
N 3471,1,2188,0.88,16.4,20.7,25.7,0.5,10.15
1056-49,7,2455,-30.49,25.8,-29.6,7.5,-18,0
N 3489,-2,576,-22.55,6.2,-0.4,5.9,-2.5,9.36
N 3486,5,632,-15.81,13,1.3,7,-2,9.64
N 3495,7,980,-26.15,12.7,-2.8,11.1,-5.6,9.69
U 6112,7,932,-20.9,11.4,-0.4,19,-7.3,9.46
N 3501,5,1040,-20.31,15.8,0,20.4,-7.5,9.75
N 3504,2,1478,-15.76,19.3,4.1,25.2,-7.2,10.34
N 3507,3,879,-20.11,17.9,0,18.6,-6.7,10.23
N 3511,5,854,-31.4,25.3,-9.2,9.4,-8.1,10.25
N 3510,9,664,-15.24,6.7,1.3,7.5,-2.1,8.92
N 3513,5,945,-31.29,15.9,-10.2,10.4,-8.8,9.98
N 3512,5,1338,-15.59,10.9,3.9,23.7,-6.7,9.8
1102+29,13,592,-14.9,1,1.2,6.6,-1.8,0
N 3521,4,628,-26.23,22.1,-2,6.1,-3.2,10.14
U 6151,9,1241,-18.88,13.5,0.6,23,-7.9,9.06
N 3516,-2,2709,7.28,26.1,28.6,25.9,4.9,10.43
U 6157,8,2859,-19.75,22.6,-0.6,40.5,-14.5,9.82
U 6162,6,2268,-3.66,21.3,17.1,30.1,-2.2,9.91
U 6161,8,793,-7.44,9.3,4.8,11.2,-1.6,9.05
U 6171,10,1118,-19.11,12.8,0,21.7,-7.5,9.28
1105-46,7,772,-29.66,13.7,-11.1,3.7,-6.6,0
1106-28,10,1239,-30.44,16.9,-14.2,11.7,-10.8,0
1107-37,-5,2611,-30.25,24.5,-28.8,16,-19.2,10.24
N 3547,5,1414,-21.62,13.9,-3.4,24.4,-9.7,9.89
1107-23,4,1841,-29.92,27.6,-18.2,18.1,-14.7,10.21
N 3557,-5,2877,-30.16,44.8,-31.5,17.3,-20.9,11.06
N 3549,5,2944,-1.99,31.4,22.2,36.8,-1.5,10.7
N 3564,-2,2561,-30.04,20.9,-28.5,15.7,-18.8,10.24
1108-48,2,2434,-28.79,25.7,-29.7,8.3,-17,0
N 3568,3,2172,-30.01,22,-24.8,13.7,-16.4,0
N 3556,6,785,-0.77,24.3,7.7,11.8,-0.2,10.5
U 6251,9,1006,-1.58,9.5,9.3,15.5,-0.5,8.9
N 3585,-5,1236,-29.4,26.5,-14.1,12.4,-10.6,10.56
U 6258,10,1382,-16.47,12.2,1,25,-7.4,9.22
1111-69,5,1063,-23.53,12.9,-14.9,-1.6,-6.5,0
N 3583,3,2188,-4.05,24.8,15.1,30.3,-2.4,10.61
N 3593,0,510,-19.77,6.4,-0.6,5.2,-1.9,9
N 3596,5,1084,-18.92,27.5,-1.7,21.7,-7.5,10.32
N 3600,1,740,-7.05,9.2,3.6,9.8,-1.3,9.56
1113-33,3,2738,-29.05,24.6,-29.4,19.1,-19.5,10.05
N 3605,-5,600,-17.28,5.9,-0.5,16,-5,9.4
N 3607,-2,840,-17.22,28.5,-0.4,19,-5.9,10.41
N 3608,-5,1118,-17.16,21.9,-0.5,22.3,-6.9,10.17
N 3611,1,1490,-22.01,21.5,-6.5,24.4,-10.2,10
N 3614,5,2381,-4.68,41.6,14.7,33.2,-3,10.56
N 3610,-5,1869,1.55,22.2,16.9,23.9,0.8,10.48
U 6320,13,1050,-16.63,7.9,-0.3,21.7,-6.5,9.46
N 3613,-5,2154,1.19,30.7,18.7,27.1,0.7,10.59
N 3621,7,470,-28.54,28.6,-5.2,3.5,-3.4,10.14
N 3623,1,692,-18.69,13.4,-0.8,6.9,-2.3,10.12
N 3619,0,1748,1.17,29.3,15.7,23,0.6,10.04
N 3626,-2,1383,-16.43,21.5,-0.6,25.2,-7.4,10.35
U 6345,10,1450,-22.01,18.1,-7.3,23.8,-10.1,9.77
N 3627,3,623,-18.43,13.3,-0.7,6.2,-2.1,10.06
N 3630,-2,1363,-21.85,12.9,-6.9,23,-9.6,9.94
N 3628,3,734,-18.19,23.8,-0.8,7.3,-2.4,10.18
N 3629,6,1471,-12.78,15.7,3,26,-5.9,10.05
N 3637,-2,1649,-25.3,13.2,-13,22,-12.1,10.05
N 3631,5,1239,-0.76,32.8,10.9,18.7,-0.3,10.47
N 3640,-5,1198,-21.58,35.3,-6.4,21.6,-8.9,10.5
N 3642,4,1729,2.13,43.4,15.9,22.4,1,10.46
N 3652,5,2100,-7.65,21.5,9.3,31.8,-4.5,10.4
N 3655,5,1384,-16.48,11.6,-1.5,25.3,-7.5,10.18
U 6399,9,873,-1.52,11.9,7.8,14.6,-0.4,9.29
N 3656,-5,2910,-0.13,22.4,21.6,36.6,-0.1,10.29
N 3659,9,1200,-15.83,12.9,-0.9,23.6,-6.7,9.97
N 3657,5,1293,-0.52,18.3,11.1,19.5,-0.2,10.01
N 3664,9,1216,-20.77,13.5,-6.5,21.9,-8.7,9.77
N 3666,5,947,-18.08,16.4,-2.4,16,-5.3,10.01
N 3665,-2,2012,-6.84,35,9.4,30.8,-3.9,10.54
N 3672,5,1654,-24.14,26.5,-13.1,22.4,-11.6,10.66
N 3669,9,2041,1.87,15.6,17.6,26.1,1,10.27
N 3673,3,1696,-26.75,30.6,-18.6,16.2,-12.4,10.27
N 3675,3,805,-4.42,19.1,4.6,11.9,-1,10.13
N 3681,4,1152,-15.6,18.4,-1.4,23.2,-6.5,10.06
U 6446,7,725,0.21,17.9,7.8,13.3,0,9.57
U 6447,13,1425,2.67,6.2,13.6,19.3,1.1,9.3
U 6448,13,1121,4.91,10,12.1,14.6,1.6,9.11
N 3684,4,1075,-15.36,17.8,-1.3,22.5,-6.2,10.07
U 6456,13,96,11.37,0.6,1.1,0.8,0.3,6.77
N 3683,5,1783,1.74,14.9,15.5,23.8,0.9,10.14
1124+54,13,2979,0.43,0,22,37.5,0.3,0
N 3686,4,1076,-15.18,19.2,-1.3,22.7,-6.2,10.17
N 3687,1,2373,-10.23,20.6,5.3,36.2,-6.6,10.29
N 3689,5,2698,-11.76,20.5,3.3,40.2,-8.4,10.29
1125-36,4,2710,-26.58,28.9,-30.7,17.8,-17.7,10.03
N 3694,13,2250,-7.55,12.4,8.3,34.1,-4.7,9.89
U 6491,8,2523,-7.7,20.4,8.7,37.4,-5.2,9.65
N 3706,-5,2780,-26.24,34.3,-31.4,18.3,-17.9,10.65
N 3705,2,891,-17.5,19.9,-3.2,15.9,-5.1,10.25
1127+37,12,2014,-6.71,0,8.2,31.3,-3.8,9.42
N 3717,2,1477,-25.62,32.3,-17.7,13.3,-10.6,10.49
N 3718,1,1068,0.72,41.2,8.7,15.6,0.2,10.27
U 6531,8,1580,-5.28,15.9,7.8,26.1,-2.5,9.34
U 6534,6,1400,5.18,14.8,14.3,17.9,2.1,9.96
1130+55,13,1815,1.68,4.2,14.9,24.7,0.8,0
N 3726,5,914,-1.77,25.3,6.7,15.3,-0.5,10.33
U 6541,10,314,-0.81,1.5,1.7,3.6,-0.1,7.96
N 3729,1,1117,0.91,14.9,8.9,15.8,0.3,9.89
N 3732,1,1514,-21.94,10.2,-12.8,21.4,-10.1,9.81
N 3733,5,1278,1.79,24.5,11.3,18.9,0.7,10.08
N 3738,10,314,1.75,4,2.2,3.7,0.1,8.64
N 3735,5,2853,8.42,35.9,28.7,28.6,6,10.78
N 3755,5,1575,-5.72,23.4,6.6,26.6,-2.7,9.95
N 3756,5,1382,1.79,27.4,11.8,20.3,0.7,10.18
N 3769,3,773,-0.76,12.4,6.5,14.3,-0.3,10.17
1135+48,9,744,-0.74,4.5,6.4,14.2,-0.3,9.05
N 3773,-2,904,-14.65,7.4,-2.6,16.2,-4.3,9.49
N 3783,1,2627,-24.42,19.1,-30.7,16.8,-15.9,10.4
N 3782,6,793,-1.08,6.5,6.2,14.6,-0.3,9.49
U 6616,7,1261,3.78,17.7,11.9,18,1.4,9.54
N 3780,5,2491,2.95,30.4,19.6,31.6,1.9,10.66
N 3786,1,2744,-6.94,23.1,6.8,40.7,-5,10.35
N 3788,2,2322,-6.93,16,6,35.7,-4.4,10.24
U 6628,9,901,-1.2,16.4,6.3,15.5,-0.3,9.49
U 6633,-2,1650,-15.21,9.5,-6.1,27.9,-7.8,9.73
U 6637,13,2937,-8.18,11.6,4.7,43.3,-6.3,9.76
1138-09,6,1540,-20.48,19.9,-13.4,21.8,-9.6,0
1138+35,10,1510,-5.41,5.5,5.8,26.2,-2.5,9.29
N 3804,5,1479,3.12,16.6,12.9,21,1.3,9.78
N 3810,5,882,-14.22,17.8,-2.8,16.1,-4.1,10.24
N 3813,5,1474,-4.79,14.6,6.2,25.5,-2.2,10.19
1139-06,10,1515,-19.38,12.8,-12.1,22.7,-9,0
U 6655,13,750,-12.49,3.7,-1.7,17.3,-3.9,8.98
N 3818,-5,1317,-19.21,13.9,-11,21,-8.3,9.95
U 6667,5,1051,1.46,11.4,8.2,15.8,0.5,9.29
U 6670,10,838,-11.52,11.6,-1,16.8,-3.4,9.42
U 6682,9,1439,4.55,11.8,13.3,19.7,1.9,0
U 6706,9,1525,3.08,15.5,12.8,21.8,1.4,9.68
U 6711,13,2700,8.78,10.3,26.8,27.8,6,9.9
U 6713,9,966,0.66,9.4,7.1,15.5,0.2,9.01
1142-09,4,1536,-19.33,16.7,-13.6,21.8,-9,0
N 3850,5,1264,3.59,12.1,11.2,18.7,1.4,9.47
N 3870,-2,822,1.43,5.5,7.1,14.6,0.4,0
N 3877,5,954,0.38,18.9,6.7,15.7,0.1,10.29
N 3882,5,1544,-22.52,22,-21.5,3.2,-9,0
1143+35,13,1346,-4.5,0,5.1,24.6,-2,9.39
N 3885,1,1706,-22.08,19.5,-19.9,16.3,-10.4,10.29
N 3887,4,998,-20.32,18.6,-11.4,14,-6.7,10.16
N 3888,4,2507,3.88,18.6,19.3,32.1,2.5,10.26
N 3892,-2,1532,-18.88,18.3,-14,21.6,-8.8,10.1
N 3893,5,1043,1.26,18.9,7.2,16.1,0.4,10.3
U 6782,10,477,-8.12,2.9,0.1,5,-0.7,0
U 6780,7,1574,-16.46,21.6,-11,24.9,-8,9.9
1146-28,9,1692,-21.69,24.2,-20,16,-10.2,0
N 3900,-2,1666,-6.9,26.6,2.1,29.1,-3.5,10.27
N 3904,-5,1369,-21.71,15,-17.2,13.3,-8.6,10.24
N 3898,2,1272,4.16,28.1,11.3,18.7,1.6,10.23
N 3912,1,1724,-6.91,14.9,1.9,29.7,-3.6,10.03
N 3913,7,1053,4.05,13.9,8.9,15.2,1.2,9.57
1148-75,10,1567,-19.22,15.8,-20.8,-4.3,-7.4,0
U 6816,10,998,4.47,7.9,9,14.8,1.4,9
N 3917,6,1056,2.76,17.4,8.1,15.8,0.8,10.01
U 6817,10,269,-2.16,3.3,0.8,3,-0.1,7.93
U 6818,13,857,0.47,8.9,6,15.3,0.1,9.09
N 3923,-5,1546,-21.26,28.6,-18.9,14.8,-9.3,10.68
N 3930,5,936,-2.32,21.6,4.5,17.9,-0.7,9.8
N 3928,13,1057,1.72,7.9,7.2,16.2,0.5,9.45
U 6840,9,1102,3.04,13.9,8.3,16,1,8.95
1149+35,13,2168,-3.35,0,6.7,33.9,-2,0
N 3936,5,1789,-20.72,27.1,-20.7,17.5,-10.2,10.4
N 3924,9,1077,2.34,9.4,7.6,16.2,0.7,8.81
1150-03,10,1499,-16.01,11.2,-11.5,23.8,-7.6,0
N 3938,5,852,0.16,24.3,5.5,15.4,0,10.3
N 3941,-2,940,-2.48,19.9,4.3,18.4,-0.8,10.18
N 3945,-2,1341,6.32,38.8,12.9,18.2,2.5,10.31
1150-28,8,1461,-20.71,22.4,-18.1,14.4,-8.7,0
N 3952,9,1458,-15.83,7.1,-11.5,23.3,-7.4,10.18
N 3949,4,868,1.7,12.4,6.4,15.1,0.5,10.16
N 3953,5,1139,3.37,25.8,8.4,16.3,1.1,10.44
N 3956,5,1439,-19.41,24.9,-16.2,17.3,-8.4,10.27
N 3955,13,1117,-19.84,15.6,-13.9,13.5,-7,9.86
N 3957,-2,1620,-19.21,20.1,-17.4,19.2,-9,9.91
U 6877,13,1050,-14.57,4,-5.6,13.8,-3.9,9.13
N 3962,-5,1621,-17.97,27,-15.8,21.4,-8.6,10.48
1152-16,8,1601,-18.51,13.7,-16.6,20.2,-8.7,0
U 6900,10,541,-3.96,3.1,0.8,5.8,-0.4,7.9
N 3972,4,947,4.71,14.4,8.5,14.6,1.4,9.89
U 6903,6,1748,-13.92,21.4,-10.7,27.6,-7.3,9.88
N 3976,5,2381,-12.23,29.7,-10,35.5,-8,10.58
N 3981,4,1499,-18.78,63.8,-16.6,18.1,-8.4,10.14
U 6912,13,1468,5.8,15,13.1,20.4,2.5,9.28
U 6917,9,996,3.06,20.4,7.4,15.6,0.9,9.65
N 3982,4,1208,4.74,11.9,9.3,16.4,1.6,9.97
N 3985,9,600,2.33,2.9,3.3,7.6,0.3,8.86
U 6923,10,1172,4.09,8.9,8.7,16.5,1.3,9.21
U 6930,7,851,2.77,20.4,6.7,14.9,0.8,9.57
N 3992,4,1142,4.27,32.8,8.7,16.1,1.4,10.49
N 3990,-2,820,5.01,6.9,8,13.9,1.4,9.29
N 3998,-2,1238,5.05,20.2,10.8,18.6,1.9,10.24
U 6955,10,938,-1.07,26.2,4.4,18.2,-0.3,9.58
U 6956,9,995,3.52,12.9,7.5,15.5,1,0
1155-22,10,1561,-18.7,23.2,-17.9,17.6,-8.5,0
N 4024,-5,1482,-17.93,13.6,-16.2,18.6,-8,9.98
N 4010,9,968,2.25,13.9,6.5,15.8,0.7,9.85
N 4013,4,883,1.07,17.4,5.4,15.6,0.3,10.01
U 6962,6,827,0.63,11.9,5.1,15.4,0.1,9.55
N 4020,7,742,-3.7,4.2,0.9,8,-0.5,8.88
U 6973,2,756,0.68,12.9,4.9,14.9,0.2,9.64
1156+46,10,1210,1.75,6,6.7,17.6,0.6,0
U 6983,6,1166,4.26,18.9,8.5,16.4,1.3,9.53
N 4027,8,1461,-17.9,23.9,-16.3,18.1,-7.9,10.41
N 4026,-2,958,3.69,18.4,7.4,15.4,1.1,9.98
N 4030,4,1311,-13.44,28.7,-10.2,23,-6,10.3
N 4033,-5,1312,-17.37,15.4,-14.9,17.3,-7.1,9.99
U 6998,9,1789,-13.03,16.3,-11.7,27.8,-7,0
1158-24,8,1581,-18.43,13.2,-18.6,17,-8.4,0
N 4037,5,844,-8.9,13.6,-2.9,16.7,-2.7,9.7
U 7007,9,786,-2.16,5.2,1.4,8.7,-0.3,0
N 4036,-2,1510,7.66,23.7,14.3,19.7,3.3,10.42
U 7009,10,1250,7.84,8.7,12.5,16.9,2.9,9.36
N 4038,10,1446,-17.26,73.7,-16.3,18.2,-7.6,10.62
N 4039,10,1429,-17.27,62.1,-16.1,18,-7.5,0
N 4041,4,1360,7.83,17.9,13.3,18.1,3.1,10.22
U 7020,-2,1586,8.59,8.9,15.6,19.7,3.8,9.36
N 4045,4,1827,-12.01,24.8,-11,28.7,-6.5,10.18
N 4050,3,1700,-16.51,19.3,-17.5,21.3,-8.2,10.39
N 4051,4,763,2.04,25.8,5.3,14.7,0.6,10.29
N 4061,-5,1545,-6.07,5.5,-0.9,14.5,-1.5,8.84
N 4062,5,764,-2.14,10.8,1.2,9.4,-0.3,9.5
N 4068,10,302,4.91,2.9,1.7,3.4,0.3,8.32
N 4065,-5,1122,-6.05,6.1,-1,15.9,-1.7,9.2
N 4064,1,959,-6.63,16.8,-1.5,16.8,-2,9.92
U 7056,6,1406,8.17,13.6,13.7,18.5,3.3,9.52
U 7053,10,1311,-12.6,13.6,-10.5,23,-5.7,0
1202-27,9,1553,-18.18,18.9,-19.2,15.3,-8.1,0
N 4085,5,794,4.36,10.4,6.7,14.5,1.2,9.73
N 4088,5,844,4.45,21.8,6.9,14.7,1.3,10.38
1203-27,5,1618,-17.94,19.5,-19.9,15.9,-8.2,10.36
N 4094,6,1232,-15.44,23.1,-13.7,17.8,-6.2,10.13
U 7089,9,826,2.04,12.4,5,15.4,0.5,9.41
1203-22,10,1498,-17.03,24.8,-17.7,17.1,-7.5,0
N 4096,5,644,3.51,12.6,3.3,8.1,0.5,9.95
N 4100,5,1153,4.23,20.8,7.5,16.8,1.4,10.25
N 4102,3,953,5.28,13.9,7.7,15.1,1.6,9.8
N 4105,-5,1654,-18.01,15.8,-20.7,15.4,-8.4,10.34
N 4106,-2,1944,-17.98,16.1,-23.3,17.4,-9.5,10.31
N 4111,-2,842,2.2,16.9,5,15.5,0.6,10.05
1204+40,10,914,1.16,7.2,4.5,16.9,0.4,0
N 4116,8,1177,-10.64,24.1,-8.7,23.1,-4.6,10.08
1205+67,13,2391,10.01,8.3,22.9,26.3,6.1,9.53
N 4121,-5,1600,9.35,3.7,15.8,19.6,4.1,9.29
N 4124,-2,1551,-8.26,18.6,-4,17.1,-2.5,9.84
N 4123,4,1207,-10.46,32.5,-8.7,23.3,-4.6,10.29
N 4125,-5,1495,9.39,45.2,15,18.6,3.9,10.73
N 4127,4,2006,12.64,24.4,22.4,18.6,6.5,10.14
N 4128,-2,2481,10.47,24.4,24.1,26.4,6.6,10.23
U 7125,9,1098,0.42,19.9,4.5,21.6,0.2,9.68
N 4129,5,1034,-13.45,10.5,-11,17.4,-4.8,9.89
